Label,Year,County,Average Household Size
Total,2023,Middlesex County,2.69
owner,2023,Middlesex County,2.8
renter,2023,Middlesex County,2.51
Total,2023,Monmouth County,2.51
owner,2023,Monmouth County,2.66
renter,2023,Monmouth County,2.09
Total,2023,Morris County,2.62
owner,2023,Morris County,2.8
renter,2023,Morris County,2.08
Total,2023,New Jersey!!Estimate,2.58
owner,2023,New Jersey!!Estimate,2.72
renter,2023,New Jersey!!Estimate,2.32
Total,2023,Ocean County,2.65
owner,2023,Ocean County,2.59
renter,2023,Ocean County,2.93
Total,2023,Passaic County,2.83
owner,2023,Passaic County,2.9
renter,2023,Passaic County,2.74
Total,2023,Salem County,2.53
owner,2023,Salem County,2.64
renter,2023,Salem County,2.26
Total,2023,Somerset County,2.61
owner,2023,Somerset County,2.72
renter,2023,Somerset County,2.29
Total,2023,Sussex County,2.47
owner,2023,Sussex County,2.56
renter,2023,Sussex County,1.98
Total,2023,Union County,2.76
owner,2023,Union County,2.93
renter,2023,Union County,2.51
Total,2023,Warren County,2.41
owner,2023,Warren County,2.53
