Year,County,Total:_x,    American Indian and Alaska Native alone,    Asian alone,    Black or African American alone,    Native Hawaiian and Other Pacific Islander alone,    Some Other Race alone,    Some other race alone,    Two or More Races:,    Two or more races:,    White alone,"        Two races excluding Some Other Race, and three or more races","        Two races excluding Some other race, and three or more races",        Two races including Some Other Race,        Two races including Some other race,Total:_y,    Hispanic or Latino,    Not Hispanic or Latino
2015,Middlesex County,"840,900","1,773","202,150","85,573",204,,"27,548",,"18,785","504,867",,"11,091",,"7,694","840,900","170,536","670,364"
2015,Monmouth County,"628,715","1,207","33,671","46,377",466,,"21,803",,"11,544","513,647",,"10,254",,"1,290","628,715","67,329","561,386"
2015,Morris County,"499,509",948,"50,898","16,557",0,,"12,354",,"11,561","407,191",,"9,680",,"1,881","499,509","65,122","434,387"
2015,New Jersey!!Estimate,"8,958,013","16,870","849,240","1,198,613","3,556",,"585,855",,"243,612","6,060,267",,"189,631",,"53,981","8,958,013","1,762,179","7,195,834"
2015,Ocean County,"588,721",173,"11,816","18,766",187,,"9,826",,"11,243","536,710",,"9,879",,"1,364","588,721","53,577","535,144"
2015,Passaic County,"510,916","2,278","27,531","58,441",185,,"102,969",,"19,525","299,987",,"15,408",,"4,117","510,916","205,546","305,370"
2015,Salem County,"64,180",62,794,"8,337",0,,"1,012",,"2,255","51,720",,"2,077",,178,"64,180","5,247","58,933"
2015,Somerset County,"333,654",175,"58,195","31,905",0,,"15,776",,"7,883","219,720",,"6,379",,"1,504","333,654","48,471","285,183"
2015,Sussex County,"143,673",0,"3,056","3,094",26,,"1,591",,"2,310","133,596",,"2,162",,148,"143,673","10,818","132,855"
2015,Union County,"555,786","1,008","27,386","118,490",0,,"68,074",,"18,178","322,650",,"13,095",,"5,083","555,786","169,913","385,873"
2015,Warren County,"106,869",281,"3,392","4,395",35,,"1,776",,"1,815","95,175",,"1,563",,252,"106,869","9,245","97,624"
2016,Atlantic County,"270,991",824,"22,599","41,557",60,,"20,986",,"8,056","176,909",,"4,878",,"3,178","270,991","50,901","220,090"
2016,Bergen County,"939,151","1,748","153,276","56,391",804,,"20,616",,"27,743","678,573",,"23,010",,"4,733","939,151","182,163","756,988"
2016,Burlington County,"449,284",378,"23,697","74,530",123,,"10,123",,"17,320","323,113",,"14,953",,"2,367","449,284","35,295","413,989"
2016,Camden County,"510,150","1,032","29,696","96,342",0,,"44,228",,"14,323","324,529",,"12,373",,"1,950","510,150","83,592","426,558"
2016,Cape May County,"94,430",63,806,"3,321",127,,648,,"2,631","86,834",,"2,593",,38,"94,430","7,192","87,238"
2016,Cumberland County,"153,797","1,960","2,258","28,739",0,,"10,350",,"6,850","103,640",,"4,974",,"1,876","153,797","46,442","107,355"
2016,Essex County,"796,914","1,518","42,298","317,198",0,,"58,747",,"21,671","355,482",,"17,581",,"4,090","796,914","180,722","616,192"
